College Name,Address,Year,Organization Type,Size,Area,Graduation Rate,Financial Aid,SAT Score,Net Price,Majors,Rank,Logo URL,Logo2 URL,University URL,country
Talpiot College,"Toronto, Canada",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Canada
Toronto Metropolitan University,"Toronto, Canada",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Canada
Trent University,"Peterborough, Canada",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Canada
Universite De Saint-Boniface,"Winnipeg, Canada",Unknown,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Canada
University of Alberta,"Edmonton, Canada",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Canada
University of British Columbia,"Vancouver, Canada",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,—,,,https://logo.clearbit.com/www.ubc.ca/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.ubc.ca/,https://www.ubc.ca/,Canada
University of Guelph,"Guelph, Canada",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Canada
University of Manitoba,"Winnipeg, Canada",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Canada
University of Toronto,"Toronto, Canada",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,—,,,https://logo.clearbit.com/www.utoronto.ca/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.utoronto.ca/,https://www.utoronto.ca/,Canada
University of Victoria,"Victoria, Canada",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,—,,,https://logo.clearbit.com/www.uvic.ca/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.uvic.ca/,https://www.uvic.ca/,Canada
University of Waterloo,"Waterloo, Canada",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Canada
York University,"North York, Canada",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Canada
Duke Kunshan University,"Kunshan, China",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,China
Southern University of Science and Technology,"Shenzhen, China",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,China
Pontificia University Javeriana,"Bogota, Colombia",4-year,Private,Small,Urban,Unknown,Unknown,Unknown,,,,,,,Colombia
Universidad De La Sabana,"Chia, Colombia",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Colombia
Universidad De Los Andes,"Bogota, Colombia",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Colombia
Universidad De Iberoamerica Costa Rica,"Tibas, Costa Rica",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Costa Rica
Cyprus West University,"Famagusta, Cyprus",4-year,Public,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Cyprus
Final International University,"Kyrenia, Cyprus",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Cyprus
Charles University Faculty of Medicine Hradec Kralove,"Hradec Kralove, Czechia",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Czechia
Czech College,"Prague, Czechia",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Czechia
American University in Cairo,"New Cairo, Egypt",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Egypt
Nile University,"Cairo, Egypt",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Egypt
Estonian University Of Life Sciences,"Tartu, Estonia",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Estonia
University of Tartu,"Tartu, Estonia",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Estonia
