College Name,Address,Year,Organization Type,Size,Area,Graduation Rate,Financial Aid,SAT Score,Net Price,Majors,Rank,Logo URL,Logo2 URL,University URL,country
University of Pittsburgh at Greensburg,"Greensburg, PA",4-year,Public,Small,Suburban,39%,$18K,510-600,"$18,194","Accounting|American/United States Studies/Civilization|Anthropology|Applied Mathematics|Arts, Entertainment, and Media Management, General|Biochemistry|Biological and Physical Sciences|Biology/Biological Sciences, General|Business/Commerce, General|Chemistry, General|Children's and Adolescent Literature|Creative Writing|Criminal Justice/Law Enforcement Administration|Digital Communication and Media/Multimedia|Early Childhood Education and Teaching|English Literature (British and Commonwealth)|Health/Health Care Administration/Management|History, General|Humanities/Humanistic Studies|Information Technology|Management Information Systems, General|Multi-/Interdisciplinary Studies, Other|Political Science and Government, General|Psychology, General|Public Policy Analysis|Rhetoric and Composition|Secondary Education and Teaching|Social Sciences, General|Spanish Language Teacher Education|Spanish Language and Literature|Visual and Performing Arts, General",,https://logo.clearbit.com/www.greensburg.pitt.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.greensburg.pitt.edu/,https://www.greensburg.pitt.edu/,United States
University of North Carolina at Pembroke,"Pembroke, NC",4-year,Public,Medium,Rural,45%,$8K,910-1130,"$8,208","Accounting|American Indian/Native American Studies|Art Teacher Education|Athletic Training/Trainer|Biology/Biological Sciences, General|Business Administration and Management, General|Business/Commerce, General|Chemistry, General|Clinical Laboratory Science/Medical Technology/Technologist|College Student Counseling and Personnel Services|Computer Science|Computer and Information Systems Security/Auditing/Information Assurance|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Safety Studies|Drama and Dramatics/Theater Arts, General|Elementary Education and Teaching|English Language and Literature, General|English/Language Arts Teacher Education|Environmental Science|Environmental Studies|Fine/Studio Arts, General|History, General|Information Technology|Junior High/Intermediate/Middle School Education and Teaching|Kindergarten/Preschool Education and Teaching|Mass Communication/Media Studies|Mathematics Teacher Education|Mathematics, General|Multi-/Interdisciplinary Studies, Other|Music Performance, General|Music Teacher Education|Music, General|Occupational Therapy/Therapist|Philosophy and Religious Studies, Other|Physical Education Teaching and Coaching|Physics, General|Political Science and Government, General|Psychology, General|Public Administration|Reading Teacher Education|Registered Nursing/Registered Nurse|Science Teacher Education/General Science Teacher Education|Secondary School Administration/Principalship|Social Studies Teacher Education|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Sport and Fitness Administration/Management|Sports, Kinesiology, and Physical Education/Fitness, General|Teacher Education and Professional Development, Specific Levels and Methods, Other",628,https://logo.clearbit.com/www.uncp.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.uncp.edu/,https://www.uncp.edu/,United States
Christian Brothers University,"Memphis, TN",4-year,Private,Small,Urban,60%,$19K,515-640,"$18,612","Accounting|Applied Psychology|Art Teacher Education|Art Therapy/Therapist|Banking and Financial Support Services|Biochemical Engineering|Biochemistry|Biology/Biological Sciences, General|Biomedical Sciences, General|Business Administration and Management, General|Business/Commerce, General|Business/Corporate Communications, General|Chemical Engineering|Chemistry, General|Civil Engineering, General|Computer Engineering, General|Computer Science|Computer Systems Analysis/Analyst|Computer and Information Systems Security/Auditing/Information Assurance|Construction Management, General|Creative Writing|Criminal Justice/Safety Studies|Cyber/Computer Forensics and Counterterrorism|Data Science, General|Early Childhood Education and Teaching|Ecology|Education, General|Educational Leadership and Administration, General|Electrical and Electronics Engineering|Elementary Education and Teaching|Engineering Physics/Applied Physics|Engineering, General|Engineering/Industrial Management|English Language and Literature, General|English/Language Arts Teacher Education|Ethnic, Cultural Minority, Gender, and Group Studies, Other|Finance, General|Financial Forensics and Fraud Investigation|Fine/Studio Arts, General|Foreign Language Teacher Education|General Studies|Graphic Design|Health Services/Allied Health/Health Sciences, General|Health/Health Care Administration/Management|History Teacher Education|History, General|Industrial and Organizational Psychology|International Business/Trade/Commerce|Junior High/Intermediate/Middle School Education and Teaching|Liberal Arts and Sciences/Liberal Studies|Management Information Systems, General|Marketing/Marketing Management, General|Mathematics and Computer Science|Mathematics, General|Mechanical Engineering|Multi-/Interdisciplinary Studies, General|Natural Sciences|Nursing Practice|Packaging Science|Philosophy|Philosophy and Religious Studies, General|Physical Sciences, General|Physician Assistant|Physics, General|Psychology, General|Reading Teacher Education|Registered Nursing/Registered Nurse|Religion/Religious Studies|Science Teacher Education/General Science Teacher Education|Secondary Education and Teaching|Special Education and Teaching, General|Sport and Fitness Administration/Management|Sustainability Studies|Teacher Education, Multiple Levels",,https://logo.clearbit.com/www.cbu.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.cbu.edu/,https://www.cbu.edu/,United States
California State University: Sacramento,"Sacramento, CA",4-year,Public,Very Large,Urban,54%,$12K,880-1100,,"Accounting|Anthropology|Apparel and Textiles, General|Applied Behavior Analysis|Art History, Criticism and Conservation|Art/Art Studies, General|Asian Studies/Civilization|Biochemistry|Biology/Biological Sciences, General|Business Administration and Management, General|Business and Innovation/Entrepreneurship Teacher Education|Chemistry, General|Cinematography and Film/Video Production|Civil Engineering, General|Communication Sciences and Disorders, General|Community College Administration|Computer Engineering, General|Computer Science|Computer Software Engineering|Computer and Information Sciences, General|Construction Engineering Technology/Technician|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Safety Studies|Deaf Studies|Design and Applied Arts, Other|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Economics, General|Education, General|Educational Leadership and Administration, General|Electrical and Electronics Engineering|Engineering Technologies/Technicians, General|English Language and Literature, General|Environmental Science|Ethnic, Cultural Minority, Gender, and Group Studies, Other|Family and Consumer Sciences/Human Sciences, General|Fine/Studio Arts, General|French Language and Literature|General Studies|Geography|Geology/Earth Science, General|Gerontology|Graphic Design|Health Services/Allied Health/Health Sciences, General|History, General|Humanities/Humanistic Studies|Industrial and Organizational Psychology|Information Technology|Interior Architecture|Interior Design|International Relations and Affairs|Journalism|Liberal Arts and Sciences/Liberal Studies|Mathematics, General|Mechanical Engineering|Multi-/Interdisciplinary Studies, Other|Music Performance, General|Music, General|Nutrition Sciences|Parks, Recreation, and Leisure Studies|Philosophy|Photography|Physical Therapy/Therapist|Physics, General|Political Science and Government, General|Psychology, General|Public Administration|Public Health, General|Public/Applied History|Registered Nursing/Registered Nurse|Social Sciences, General|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Speech Communication and Rhetoric|Sports, Kinesiology, and Physical Education/Fitness, General|Teacher Education and Professional Development, Specific Levels and Methods, Other|Trade and Industrial Teacher Education|Women's Studies",,,,,United States
University of North Carolina at Charlotte,"Charlotte, NC",4-year,Public,Very Large,Urban,70%,$14K,665-1310,"$13,951","Accounting|Adult and Continuing Education and Teaching|African-American/Black Studies|Allied Health Diagnostic, Intervention, and Treatment Professions, Other|Anthropology|Applied Mathematics|Architectural and Building Sciences/Technology|Architecture|Art History, Criticism and Conservation|Art/Art Studies, General|Athletic Training/Trainer|Bioinformatics|Biology/Biological Sciences, General|Biomedical Sciences, General|Biotechnology|Business Administration and Management, General|Business, Management, Marketing, and Related Support Services, Other|Business/Managerial Economics|Chemistry, General|City/Urban, Community, and Regional Planning|Civil Engineering Technologies/Technicians|Civil Engineering, General|Computer Engineering, General|Computer Science|Computer and Information Sciences and Support Services, Other|Computer and Information Sciences, General|Computer and Information Systems Security/Auditing/Information Assurance|Construction Engineering|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Safety Studies|Criminology|Curriculum and Instruction|Dance, General|Data Science, General|Drama and Dramatics/Theater Arts, General|Econometrics and Quantitative Economics|Economics, General|Education, Other|Education/Teaching of Individuals in Early Childhood Special Education Programs|Education/Teaching of the Gifted and Talented|Educational Evaluation and Research|Educational Leadership and Administration, General|Educational/Instructional Technology|Electrical and Electronics Engineering|Electrical, Electronic, and Communications Engineering Technology/Technician|Elementary Education and Teaching|Energy Systems Technology/Technician|Engineering, General|Engineering, Other|Engineering/Engineering-Related Technologies/Technicians, Other|Engineering/Industrial Management|English Language and Literature, General|Entrepreneurship/Entrepreneurial Studies|Environmental/Environmental Health Engineering|Ethics|Exercise Physiology and Kinesiology|Finance, General|Financial Mathematics|Fine/Studio Arts, General|Foreign Languages, Literatures, and Linguistics, Other|French Language and Literature|Geographic Information Science and Cartography|Geography|Geology/Earth Science, General|German Language and Literature|Gerontology|Graphic Design|Health/Health Care Administration/Management|History, General|Industrial and Organizational Psychology|Information Technology|International Business/Trade/Commerce|International/Globalization Studies|Japanese Language and Literature|Junior High/Intermediate/Middle School Education and Teaching|Kindergarten/Preschool Education and Teaching|Kinesiotherapy/Kinesiotherapist|Language Interpretation and Translation|Latin American Studies|Liberal Arts and Sciences/Liberal Studies|Management Science|Management Sciences and Quantitative Methods, Other|Marketing/Marketing Management, General|Mathematics Teacher Education|Mathematics and Computer Science|Mathematics and Statistics, Other|Mathematics, General|Mechanical Engineering|Mechanical/Mechanical Engineering Technology/Technician|Medical Informatics|Meteorology|Multi-/Interdisciplinary Studies, General|Multi-/Interdisciplinary Studies, Other|Music Performance, General|Music Teacher Education|Music, General|Nursing Administration|Nursing Practice|Operations Management and Supervision|Optics/Optical Sciences|Philosophy|Physical Sciences, Other|Physics, General|Political Science and Government, General|Psychology, General|Public Administration|Public Health, General|Public Policy Analysis|Reading Teacher Education|Real Estate|Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other|Registered Nursing/Registered Nurse|Religion/Religious Studies|Research Methodology and Quantitative Methods|Research and Experimental Psychology, Other|Respiratory Care Therapy/Therapist|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Special Education and Teaching, Other|Speech Communication and Rhetoric|Sports, Kinesiology, and Physical Education/Fitness, General|Sustainability Studies|Systems Engineering|Teacher Education and Professional Development, Specific Levels and Methods, Other|Urban Education and Leadership|Women's Studies|Writing, General",259,https://logo.clearbit.com/www.charlotte.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.charlotte.edu/,https://www.charlotte.edu/,United States
Saint Peter's University,"Jersey City, NJ",4-year,Private,Small,Urban,60%,$12K,923-1148,"$11,996",,,https://logo.clearbit.com/www.saintpeters.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.saintpeters.edu/,https://www.saintpeters.edu/,United States
Saint Petersburg College,"St Petersburg, FL",4-year,Public,Very Large,Suburban,Unknown,$2K,Unknown,,"Accounting Technology/Technician and Bookkeeping|Architectural Drafting and Architectural CAD/CADD|Architectural Technology/Technician|Biology/Biological Sciences, General|Biology/Biotechnology Technology/Technician|Biomedical Technology/Technician|Business Administration and Management, General|Business Administration, Management and Operations, Other|CAD/CADD Drafting and/or Design Technology/Technician|Child Care Provider/Assistant|Civil Engineering Technologies/Technicians|Communications Technology/Technician|Community Health Services/Liaison/Counseling|Computer Programming, Specific Applications|Computer Programming/Programmer, General|Computer and Information Sciences, General|Computer and Information Systems Security/Auditing/Information Assurance|Corrections|Criminal Justice/Law Enforcement Administration|Criminal Justice/Police Science|Crisis/Emergency/Disaster Management|Cyber/Computer Forensics and Counterterrorism|Data Science, General|Dental Hygiene/Hygienist|Dental Public Health and Education|Digital Arts|Digital Communication and Media/Multimedia|Early Childhood Education and Teaching|Education, Other|Electrical, Electronic, and Communications Engineering Technology/Technician|Elementary Education and Teaching|Emergency Medical Technology/Technician (EMT Paramedic)|Engineering Technologies/Technicians, General|Entrepreneurship/Entrepreneurial Studies|Environmental Science|Environmental/Natural Resources Management and Policy, Other|Environmental/Natural Resources Management and Policy, Other|Fire Prevention and Safety Technology/Technician|Fire Science/Fire-fighting|Forensic Science and Technology|Funeral Service and Mortuary Science, General|Health Information/Medical Records Technology/Technician|Health Services Administration|Health/Health Care Administration/Management|Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other|Homeland Security, Other|Hospital and Health Care Facilities Administration/Management|Hospitality Administration/Management, General|Hotel, Motel, and Restaurant Management|Hotel/Motel Administration/Management|Information Technology|Information Technology Project Management|Legal Assistant/Paralegal|Liberal Arts and Sciences/Liberal Studies|Lineworker|Mathematics Teacher Education|Medical Insurance Specialist/Medical Biller|Mental and Social Health Services and Allied Professions, Other|Music Technology|Network and System Administration/Administrator|Operations Management and Supervision|Orthotist/Prosthetist|Photography|Physical Therapy Assistant|Public Administration|Quality Control Technology/Technician|Radiologic Technology/Science - Radiographer|Recording Arts Technology/Technician|Registered Nursing/Registered Nurse|Respiratory Care Therapy/Therapist|Restaurant/Food Services Management|Risk Management|Securities Services Administration/Management|Small Business Administration/Management|Special Education and Teaching, General|Substance Abuse/Addiction Counseling|Surgical Technology/Technologist|Sustainability Studies|Transportation/Mobility Management|Veterinary/Animal Health Technology/Technician and Veterinary Assistant|Web Page, Digital/Multimedia and Information Resources Design|Web/Multimedia Management and Webmaster",,,,,United States
University of Washington Bothell,"Bothell, WA",4-year,Public,Medium,Suburban,69%,$9K,1100-1390,,"Accounting|Accounting and Finance|American/United States Studies/Civilization|Area Studies, Other|Art/Art Studies, General|Biochemistry|Biology/Biological Sciences, General|Business Administration and Management, General|Chemistry, General|Community Health and Preventive Medicine|Community Psychology|Computer Engineering, General|Computer Programming, Specific Applications|Computer Science|Computer Systems Analysis/Analyst|Computer and Information Sciences and Support Services, Other|Computer and Information Sciences, General|Computer and Information Systems Security/Auditing/Information Assurance|Creative Writing|Cultural Studies/Critical Theory and Analysis|Data Visualization|Education, General|Educational Leadership and Administration, General|Electrical and Electronics Engineering|Environmental Science|Environmental Studies|Ethics|General Studies|Geology/Earth Science, General|Humanities/Humanistic Studies|Information Science/Studies|International/Globalization Studies|Liberal Arts and Sciences/Liberal Studies|Management Science|Marketing/Marketing Management, General|Mass Communication/Media Studies|Mathematics, General|Mechanical Engineering|Multi-/Interdisciplinary Studies, Other|Physics, General|Political Economy|Psychology, General|Public Health, Other|Public Policy Analysis|Registered Nursing/Registered Nurse|Science, Technology and Society|Visual and Performing Arts, Other|Web Page, Digital/Multimedia and Information Resources Design|Women's Studies",,,,,United States
University of Wisconsin-Whitewater,"Whitewater, WI",4-year,Public,Large,Suburban,62%,$13K,920-1130,,"Accounting|Applied Economics|Art Teacher Education|Art/Art Studies, General|Biology/Biological Sciences, General|Biotechnology|Business Administration and Management, General|Business Analytics|Business and Innovation/Entrepreneurship Teacher Education|Business, Management, Marketing, and Related Support Services, Other|Business/Commerce, General|Chemistry, General|Cinematography and Film/Video Production|Communication Management and Strategic Communications|Communication Sciences and Disorders, General|Communication, General|Computer Science|Computer and Information Sciences, General|Computer and Information Systems Security/Auditing/Information Assurance|Construction Management, General|Counselor Education/School Counseling and Guidance Services|Criminology|Cybersecurity Defense Strategy/Policy|Digital Arts|Digital Communication and Media/Multimedia|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Economics, General|Education, General|Education, Other|Educational/Instructional Technology|Elementary Education and Teaching|English Language and Literature, General|Entrepreneurship/Entrepreneurial Studies|Environmental Science|Ethics|Exercise Science and Kinesiology|Film/Cinema/Media Studies|Finance, General|French Language and Literature|Gay/Lesbian Studies|General Merchandising, Sales, and Related Marketing Operations, Other|Geography|German Language and Literature|Gerontology|Health Communication|Higher Education/Higher Education Administration|History, General|Human Resources Management/Personnel Administration, General|Intercultural/Multicultural and Diversity Studies|International Business/Trade/Commerce|International/Globalization Studies|Japanese Studies|Journalism|Legal Studies|Liberal Arts and Sciences, General Studies and Humanities, Other|Liberal Arts and Sciences/Liberal Studies|Marketing/Marketing Management, General|Mass Communication/Media Studies|Mathematics and Computer Science|Mathematics, General|Multi-/Interdisciplinary Studies, Other|Music, General|Occupational Health and Industrial Hygiene|Occupational Safety and Health Technology/Technician|Office Management and Supervision|Online Educator/Online Teaching|Operations Management and Supervision|Organizational Communication, General|Physical Education Teaching and Coaching|Physics, General|Political Science and Government, General|Professional, Technical, Business, and Scientific Writing|Project Management|Psychology, General|Public Administration|Retail Management|School Psychology|Selling Skills and Sales Operations|Social Sciences, General|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Sports Communication|Superintendency and Educational System Administration|Teacher Education and Professional Development, Specific Levels and Methods, Other|Vehicle and Vehicle Parts and Accessories Marketing Operations|Visual and Performing Arts, General|Women's Studies",,,,,United States
Concord University,"Athens, WV",4-year,Public,Small,Rural,40%,$8K,850-1090,"$8,464","Art/Art Studies, General|Biology/Biological Sciences, General|Business Administration and Management, General|Chemistry, General|Commercial and Advertising Art|Computer Science|Education, General|Elementary Education and Teaching|English Language and Literature, General|General Studies|Geology/Earth Science, General|Health Services/Allied Health/Health Sciences, General|History, General|Information Science/Studies|Mass Communication/Media Studies|Mathematics, General|Multi-/Interdisciplinary Studies, Other|Political Science and Government, General|Psychology, General|Public Health Education and Promotion|Secondary Education and Teaching|Social Work|Sociology|Special Education and Teaching, General|Teacher Education and Professional Development, Specific Levels and Methods, Other|Tourism and Travel Services Marketing Operations",,https://logo.clearbit.com/www.concord.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.concord.edu/,https://www.concord.edu/,United States
University of Mississippi,"University, MS",4-year,Public,Very Large,Rural,68%,$14K,1000-1200,"$14,289","Accounting|Accounting and Related Services, Other|Advanced Legal Research/Studies, General|African-American/Black Studies|Anatomy|Anthropology|Arabic Language and Literature|Art History, Criticism and Conservation|Athletic Training/Trainer|Audiology/Audiologist and Speech-Language Pathology/Pathologist|Biochemistry|Bioengineering and Biomedical Engineering|Biological and Biomedical Sciences, Other|Biology/Biological Sciences, General|Biomedical Sciences, General|Biostatistics|Business Administration and Management, General|Business/Commerce, General|Business/Managerial Economics|Chemical Engineering|Chemistry, General|Chinese Language and Literature|Cinematography and Film/Video Production|Civil Engineering, General|Classics and Classical Languages, Literatures, and Linguistics, General|Clinical Laboratory Science/Medical Technology/Technologist|Clinical/Medical Social Work|Communication Sciences and Disorders, General|Community Health and Preventive Medicine|Computer Engineering, General|Computer and Information Sciences, General|Counselor Education/School Counseling and Guidance Services|Creative Writing|Criminal Justice/Law Enforcement Administration|Critical Care Nursing|Curriculum and Instruction|Cytotechnology/Cytotechnologist|Data Analytics, General|Dental Hygiene/Hygienist|Dentistry|Dietetics/Dietitian|Digital Communication and Media/Multimedia|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Economics, General|Education, General|Education/Teaching of Individuals with Emotional Disturbances|Education/Teaching of the Gifted and Talented|Educational Evaluation and Research|Educational Leadership and Administration, General|Electrical and Electronics Engineering|Elementary Education and Teaching|Engineering Science|Engineering, General|English Language and Literature, General|English/Language Arts Teacher Education|Entrepreneurship/Entrepreneurial Studies|Exercise Science and Kinesiology|Family Practice Nurse/Nursing|Finance, General|Fine/Studio Arts, General|Foods, Nutrition, and Wellness Studies, General|Foreign Languages, Literatures, and Linguistics, Other|Forensic Chemistry|French Language and Literature|General Studies|Geographic Information Science and Cartography|Geological/Geophysical Engineering|Geology/Earth Science, General|Geriatric Nurse/Nursing|German Language and Literature|Gerontology|Health Information/Medical Records Administration/Administrator|Health Professions and Related Clinical Sciences, Other|Health Services/Allied Health/Health Sciences, General|Health/Health Care Administration/Management|Higher Education/Higher Education Administration|Histologic Technology/Histotechnologist|History, General|Hospitality Administration/Management, General|Insurance|International Relations and Affairs|Journalism|Law|Legal Assistant/Paralegal|Legal Studies|Liberal Arts and Sciences/Liberal Studies|Linguistics|Magnetic Resonance Imaging (MRI) Technology/Technician|Management Information Systems, General|Management Science|Marketing, Other|Marketing/Marketing Management, General|Materials Engineering|Mathematics Teacher Education|Mathematics, General|Mechanical Engineering|Medical Microbiology and Bacteriology|Medical Science/Scientist|Medicine|Microbiology and Immunology|Multi-/Interdisciplinary Studies, General|Music, General|Neuroscience|Nuclear Medical Technology/Technologist|Nursing Practice|Nursing Science|Occupational Therapy/Therapist|Parks, Recreation and Leisure Facilities Management|Pathology/Experimental Pathology|Pharmaceutical Sciences|Pharmaceutics and Drug Design|Pharmacy|Pharmacy, Pharmaceutical Sciences, and Administration, Other|Philosophy|Physical Education Teaching and Coaching|Physical Therapy/Therapist|Physics, General|Physiology, General|Political Science and Government, General|Psychiatric/Mental Health Nurse/Nursing|Psychology, General|Public Health Education and Promotion|Public Health, General|Public Policy Analysis|Public Relations, Advertising, and Applied Communication|Radiologic Technology/Science - Radiographer|Reading Teacher Education|Real Estate|Regional Studies (U.S., Canadian, Foreign)|Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other|Registered Nursing/Registered Nurse|Religion/Religious Studies|Rhetoric and Composition|Science Teacher Education/General Science Teacher Education|Social Studies Teacher Education|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Sport and Fitness Administration/Management|Sports, Kinesiology, and Physical Education/Fitness, Other|Taxation|Teaching English as a Second or Foreign Language/ESL Language Instructor",109,https://logo.clearbit.com/olemiss.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://olemiss.edu/,https://olemiss.edu/,United States
Ozark Christian College,"Joplin, MO",4-year,Private,Small,Urban,51%,$18K,720-1060,"$17,604","Bible/Biblical Studies|Church Planting|Missions/Missionary Studies|Pastoral Counseling and Specialized Ministries, Other|Pastoral Studies/Counseling|Religious Institution Administration and Management|Theology/Theological Studies|Worship Ministry|Youth Ministry",,https://logo.clearbit.com/admissions.occ.edu/portal/ozark_welcome,https://www.google.com/s2/favicons?sz=64&domain_url=https://admissions.occ.edu/portal/ozark_welcome,https://admissions.occ.edu/portal/ozark_welcome,United States
University of Maine at Presque Isle,"Presque Isle, ME",4-year,Public,Small,Rural,20%,$9K,840-1140,"$9,104","Accounting|Agriculture, General|Art Teacher Education|Art/Art Studies, General|Biology/Biological Sciences, General|Business Administration and Management, General|Business/Commerce, General|Clinical/Medical Laboratory Assistant|Computer Science|Computer and Information Systems Security/Auditing/Information Assurance|Criminal Justice/Safety Studies|Elementary Education and Teaching|English Language and Literature, General|Environmental Science|Environmental Studies|Fine/Studio Arts, General|Liberal Arts and Sciences/Liberal Studies|Mathematics, General|Multi-/Interdisciplinary Studies, Other|Organizational Leadership|Parks, Recreation and Leisure Facilities Management|Physical Education Teaching and Coaching|Physical Therapy Assistant|Project Management|Psychology, General|Registered Nursing/Registered Nurse|Secondary Education and Teaching|Social Sciences, Other|Social Work|Sports, Kinesiology, and Physical Education/Fitness, General|Substance Abuse/Addiction Counseling",,https://logo.clearbit.com/www.umpi.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.umpi.edu/,https://www.umpi.edu/,United States
Eastern New Mexico University,"Portales, NM",4-year,Public,Medium,Rural,36%,$9K,860-1050,"$8,702","Accounting|Agribusiness/Agricultural Business Operations|Agricultural Production Operations, General|Agricultural Teacher Education|Agricultural and Extension Education Services|Agriculture, General|Anthropology|Art/Art Studies, General|Audiology/Audiologist and Speech-Language Pathology/Pathologist|Aviation/Airway Management and Operations|Biochemistry|Bioinformatics|Biology/Biological Sciences, General|Business Administration and Management, General|Business Administration, Management and Operations, Other|Business and Personal/Financial Services Marketing Operations|Chemistry, General|Child Care and Support Services Management|Cinematography and Film/Video Production|Clinical/Medical Social Work|Computational and Applied Mathematics|Computer and Information Sciences, General|Cooking and Related Culinary Arts, General|Counseling Psychology|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Safety Studies|Culinary Arts and Related Services, Other|Culinary Arts/Chef Training|Dairy Science|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Education, General|Education/Teaching of Individuals in Elementary Special Education Programs|Elementary Education and Teaching|Engineering Technologies/Technicians, General|English Language and Literature, General|Environmental Science|Family and Consumer Sciences/Human Sciences, General|Forensic Science and Technology|General Studies|Geology/Earth Science, General|History, General|Junior High/Intermediate/Middle School Education and Teaching|Liberal Arts and Sciences/Liberal Studies|Management Information Systems, General|Mathematics, General|Music, General|Parks, Recreation, and Leisure Studies|Physical Education Teaching and Coaching|Political Science and Government, General|Pre-Nursing Studies|Psychology, General|Registered Nursing/Registered Nurse|Religion/Religious Studies|Secondary Education and Teaching|Social Sciences, General|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Special Education and Teaching, Other|Speech Communication and Rhetoric|Speech-Language Pathology Assistant|Teacher Education, Multiple Levels|Trade and Industrial Teacher Education|Wildlife, Fish and Wildlands Science and Management",130,https://logo.clearbit.com/www.enmu.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.enmu.edu/,https://www.enmu.edu/,United States
Central State University,"Wilberforce, OH",4-year,Public,Medium,Rural,25%,$10K,770-950,"$10,194","Accounting|Agricultural Teacher Education|Agroecology and Sustainable Agriculture|Art Teacher Education|Art/Art Studies, General|Biology Teacher Education|Biology/Biological Sciences, General|Business/Commerce, General|Chemistry Teacher Education|Chemistry, General|Computer Science|Criminal Justice/Safety Studies|Early Childhood Education and Teaching|Education, General|English Language and Literature, General|English/Language Arts Teacher Education|Environmental/Environmental Health Engineering|Exercise Science and Kinesiology|Health Teacher Education|History, General|Industrial Technology/Technician|Jazz/Jazz Studies|Journalism, Other|Junior High/Intermediate/Middle School Education and Teaching|Manufacturing Engineering|Mathematics Teacher Education|Mathematics, General|Multi-/Interdisciplinary Studies, General|Music Performance, General|Music Teacher Education|Parks, Recreation, and Leisure Studies|Physical Education Teaching and Coaching|Political Science and Government, General|Psychology, General|Social Studies Teacher Education|Social Work|Sociology|Special Education and Teaching, General|Water Resources Engineering",,https://logo.clearbit.com/www.centralstate.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.centralstate.edu/,https://www.centralstate.edu/,United States
Yeshivat Hechal Shemuel,"Brooklyn, NY",4-year,Private,Unknown,Urban,100%,$10K,Unknown,,Talmudic Studies,,,,,United States
North Iowa Area Community College,"Mason City, IA",2-year,Public,Small,Rural,Unknown,$6K,Unknown,,"Accounting|Accounting Technology/Technician and Bookkeeping|Administrative Assistant and Secretarial Science, General|Agricultural Economics|Agricultural Production Operations, General|Agricultural Teacher Education|Agricultural/Farm Supplies Retailing and Wholesaling|Agronomy and Crop Science|Animal Sciences, General|Art/Art Studies, General|Automobile/Automotive Mechanics Technology/Technician|Biology/Biological Sciences, General|Business Administration and Management, General|Carpentry/Carpenter|Chemistry, General|Clinical/Medical Laboratory Technician|Computer Support specialist|Computer Systems Networking and Telecommunications|Computer and Information Sciences, General|Computer and Information Systems Security/Auditing/Information Assurance|Criminal Justice/Police Science|Criminal Justice/Safety Studies|Diesel Mechanics Technology/Technician|Early Childhood Education and Teaching|Electrical, Electronic, and Communications Engineering Technology/Technician|Elementary Education and Teaching|Emergency Medical Technology/Technician (EMT Paramedic)|Entrepreneurship/Entrepreneurial Studies|General Studies|Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician|History, General|Human Services, General|Industrial Mechanics and Maintenance Technology/Technician|Insurance|Legal Administrative Assistant/Secretary|Liberal Arts and Sciences/Liberal Studies|Licensed Practical/Vocational Nurse Training|Mathematics, General|Medical Administrative/Executive Assistant and Medical Secretary|Medical/Clinical Assistant|Nursing Assistant/Aide and Patient Care Assistant/Aide|Physical Education Teaching and Coaching|Physical Fitness Technician|Physical Therapy Assistant|Physics, General|Political Science and Government, General|Prepress/Desktop Publishing and Digital Imaging Design|Psychology, General|Radiologic Technology/Science - Radiographer|Registered Nursing/Registered Nurse|Respiratory Care Therapy/Therapist|Sales, Distribution, and Marketing Operations, General|Secondary Education and Teaching|Social Work|Sociology|Sport and Fitness Administration/Management|Surgical Technology/Technologist|Tool and Die Technology/Technician|Welding Technology/Welder",,,,,United States
